Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev
Take_10byte_2sock_async,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,4.065 us,1.7354 us,0.0981 us
Take_10byte_2sock_sync,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,1.537 us,0.9427 us,0.0533 us
Take_10byte_10sock_async,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,5.889 us,8.2307 us,0.4651 us
Take_10byte_30sock_async,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,5.515 us,2.4331 us,0.1375 us
Take_10byte_2sock_sync_10item,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,17.907 us,28.7123 us,1.6223 us
Take_10byte_10sock_async_10item,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,22.929 us,53.0855 us,2.9994 us
Take_10byte_30sock_async_10item,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,21.841 us,3.7723 us,0.2131 us
Take_10byte_2sock_pipeline,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,4.795 us,0.9523 us,0.0538 us
Take_10byte_10sock_pipeline,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,4.656 us,0.5813 us,0.0328 us
Take_10byte_30sock_pipeline,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,4.735 us,0.5510 us,0.0311 us
Take_10byte_2sock_pipeline_10,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,22.294 us,6.0993 us,0.3446 us
Take_10byte_10sock_pipeline_10,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,23.485 us,22.0893 us,1.2481 us
Take_10byte_30sock_pipeline_10,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,21.890 us,7.6632 us,0.4330 us
Take_10byte_2sock_loop_2,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,29.881 us,1.8279 us,0.1033 us
Take_10byte_10sock_loop_2,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,31.114 us,15.8645 us,0.8964 us
Take_10byte_30sock_loop_2,ShortRun,False,Default,Default,Default,Default,Default,Default,0,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,Default,Default,Default,1,Default,1,Default,3,16,3,33.355 us,21.4925 us,1.2144 us
